,decay_sum
5,86.34007
6,96.20774
10,98.82771
19,96.08735
21,94.80031
25,97.67232
38,96.444
63,89.80764
69,92.007835
72,89.09183
77,94.474014
85,96.79239
87,94.61741
101,93.514725
103,91.06382
109,98.615395
110,93.46726
111,96.783356
112,95.70403
118,84.31473
127,90.72411
128,95.29517
129,97.9096
139,99.18524
143,80.99178
147,87.085175
148,96.17017
150,85.30833
153,96.84632
155,91.87706
161,95.87628
162,89.08913
163,97.22291
169,97.78581
175,88.48237
192,97.25524
201,95.04889
209,83.754814
210,95.66153
231,94.090256
235,96.61585
239,83.0343
241,95.17446
243,98.94168
249,82.028946
252,95.27383
259,88.52416
270,92.84176
272,93.78226
281,93.97284
287,98.46074
289,84.38241
301,99.71514
308,96.3799
318,94.019424
336,92.89618
337,96.789024
353,95.25241
356,96.32523
358,94.80123
359,97.84155
361,92.86208
362,96.810165
377,97.28329
395,89.666046
397,98.83508
398,88.447205
406,95.81986
408,97.43524
414,91.86365
423,86.10843
428,96.27567
432,97.03975
434,93.732704
435,97.66397
445,92.91835
447,96.23341
449,85.59283
457,94.511734
467,84.34681
469,96.91252
471,93.24643
480,89.7057
491,90.98477
516,93.93261
519,96.720955
530,96.51147
533,96.99409
538,81.22837
540,98.37472
548,96.99244
562,95.28086
568,87.427414
573,99.543236
576,96.83417
578,97.9802
581,96.046005
589,86.95821
591,95.27272
593,98.626434
596,98.51166
602,93.431244
605,86.70935
606,93.58958
608,94.53628
618,93.32573
620,97.43719
623,91.049
624,91.41124
637,92.46721
649,97.940994
651,96.3321
652,91.75833
654,98.67404
656,92.87296
660,93.608894
673,99.22474
678,90.61876
683,96.053955
686,92.48774
696,89.32325
697,96.11803
709,91.75797
711,97.52802
712,95.352715
713,95.184105
719,95.9478
723,97.93775
728,94.0277
740,91.80994
754,88.31364
756,99.14013
758,92.44242
760,97.16114
761,98.40846
762,90.500755
768,97.57152
774,94.65422
777,93.32783
778,94.24254
779,92.637436
782,92.34833
784,97.37812
790,98.55336
793,96.331375
800,97.93679
801,97.05391
817,96.03791
818,89.455215
821,94.97159
832,91.55661
835,94.81847
850,88.2617
852,95.891396
856,93.04107
857,93.40515
871,95.99433
872,89.496765
873,97.47354
878,91.61103
881,94.05425
884,96.02166
889,92.18321
900,94.69338
901,96.27853
925,94.15581
927,95.159294
928,82.31421
932,94.30244
934,99.84574
948,97.89993
958,89.06182
960,90.12288
961,95.94485
975,95.90271
979,98.6564
986,88.52809
989,101.436264
991,95.48053
996,95.77207
1000,91.39247
1010,84.18627
1020,84.14504
1021,90.7385
1022,96.38768
1023,96.89185
1024,94.41007
