,ex_energy
0,6.3293796
1,7.395052
2,6.3174176
3,7.312094
4,6.400476
5,5.9264374
6,6.052174
7,6.6598883
8,6.885166
9,6.498721
10,6.0246415
11,6.3598485
12,6.487858
13,6.9928303
14,7.1332936
15,7.643103
16,7.2827163
17,6.8191347
18,7.52749
19,6.0208125
20,7.3796487
21,5.7989683
22,6.271463
23,6.88174
24,6.9326262
25,5.929149
26,6.2044344
27,6.3395414
28,6.764096
29,6.3700695
30,6.3547673
31,7.576618
32,7.4391885
33,6.9774594
34,6.6084046
35,6.623995
36,6.7544928
37,6.696866
38,5.9538083
39,7.278203
40,7.4745464
41,7.4939594
42,6.2908597
43,6.682714
44,6.6028876
45,7.5955153
46,6.263672
47,6.303304
48,6.782438
49,6.748232
50,7.561511
51,7.1285458
52,6.226328
53,6.779942
54,6.5551887
55,7.0813494
56,6.3961396
57,6.6610937
58,7.482364
59,6.3982887
60,8.2355795
61,7.282238
62,7.2340245
63,5.927104
64,6.3851547
65,6.4050717
66,6.347481
67,6.445742
68,7.7926316
69,5.9517393
70,7.021238
71,7.528461
72,6.0119214
73,6.319654
74,6.6448464
75,6.5422907
76,6.3609385
77,5.877395
78,7.5584245
79,6.3081994
80,7.142552
81,7.636691
82,6.419005
83,7.0434575
84,7.243465
85,5.8917847
86,6.3062506
87,5.9909744
88,6.4869456
89,6.7078433
90,7.2125382
91,6.6948814
92,6.930209
93,7.382766
94,6.621121
95,6.5658455
96,6.7539077
97,7.4195447
98,6.5492716
99,6.370906
100,6.621089
101,5.8531637
102,7.817427
103,5.972102
104,6.4925
105,6.67127
106,6.3312826
107,7.244193
108,7.261911
109,5.989463
110,5.845664
111,5.9933505
112,5.922594
113,7.0461345
114,6.7044835
115,6.853763
116,6.5312324
117,6.561218
118,5.93565
119,6.369053
120,6.7551966
121,7.6730065
122,6.369038
123,6.6467395
124,6.826015
125,6.2573776
126,6.4619894
127,5.9541483
128,5.9521623
129,5.8771396
130,7.3654613
131,7.1985426
132,7.7846804
133,6.595017
134,6.2898293
135,6.6918035
136,7.10958
137,7.509625
138,6.4661665
139,5.959641
140,7.4858246
141,6.7209225
142,6.5866795
143,5.9572334
144,7.259098
145,7.805096
146,6.7160754
147,5.8639154
148,5.8783994
149,6.9127884
150,5.8070936
151,6.738243
152,6.621141
153,5.896811
154,6.7285256
155,6.0898094
156,7.092613
157,6.2262144
158,6.704476
159,6.8362503
160,7.3697257
161,5.979776
162,5.9154534
163,5.9494057
164,6.517244
165,7.5786085
166,6.328498
167,6.704429
168,7.1894417
169,5.99107
170,7.2068825
171,7.5540566
172,6.837636
173,6.706972
174,7.4012923
175,5.948999
176,7.106204
177,7.3851404
178,6.311928
179,6.8980074
180,7.0963836
181,6.1920233
182,7.4447765
183,6.649006
184,6.7697372
185,7.194926
186,6.4268594
187,6.2429695
188,7.2267447
189,7.4161534
190,6.928107
191,6.4574223
192,5.8631005
193,6.3926926
194,6.705627
195,6.856012
196,6.564138
197,6.2188845
198,6.4198685
199,6.586602
200,6.600746
201,5.9123373
202,6.7014728
203,7.395343
204,7.373828
205,6.560605
206,6.3914423
207,7.459195
208,6.2588305
209,5.8383384
210,5.8536096
211,7.7099304
212,6.3846736
213,6.402513
214,7.5468955
215,6.8122754
216,7.5410895
217,7.2144504
218,6.5409064
219,6.613837
220,7.4132633
221,6.3439045
222,6.357353
223,7.0649476
224,6.4768534
225,6.485255
226,6.6747317
227,7.5590553
228,6.757953
229,6.692751
230,6.667751
231,5.860288
232,6.4003377
233,6.6134114
234,7.012838
235,5.9051957
236,6.2069273
237,6.774302
238,6.8665257
239,5.9116244
240,6.3010383
241,5.9450164
242,6.3718534
243,5.9285383
244,7.58347
245,6.535992
246,6.9354143
247,6.6195374
248,7.3459125
249,5.895487
250,6.387129
251,6.8797917
252,5.985582
253,6.660446
254,6.7943177
255,7.504696
256,6.740446
257,6.70186
258,7.3027163
259,5.9993935
260,6.248542
261,6.6030855
262,7.122903
263,7.137687
264,6.477196
265,7.3015404
266,6.3634806
267,6.4415374
268,6.422432
269,7.3423367
270,6.097745
271,6.8584995
272,5.9339204
273,6.808479
274,6.58465
275,6.6465945
276,6.3898945
277,7.6279583
278,6.699344
279,6.6635685
280,7.4368825
281,5.915317
282,6.8479543
283,7.3802743
284,6.5958014
285,6.6589904
286,6.7713704
287,5.846396
288,6.7504497
289,5.861524
290,6.407512
291,7.0511193
292,6.541818
293,7.1599436
294,6.504645
295,6.563663
296,7.9245586
297,6.2658014
298,6.3785205
299,6.6619315
300,7.5052667
301,5.878432
302,7.108911
303,6.492094
304,6.430254
305,6.5967417
306,6.7257314
307,7.496393
308,5.661637
309,7.094523
310,6.6011853
311,6.3175416
312,6.5691853
313,7.4375753
314,7.077346
315,6.596404
316,6.32427
317,7.3845606
318,6.0607777
319,6.74236
320,6.7436953
321,6.818337
322,6.3246503
323,6.8647404
324,6.669225
325,7.066282
326,6.41313
327,6.8208537
328,7.198872
329,6.419725
330,6.7432227
331,6.3543296
332,6.6896486
333,6.352477
334,6.7561903
335,7.4745483
336,6.005708
337,5.8291373
338,6.3177314
339,6.8816757
340,6.700555
341,6.570435
342,6.919031
343,6.1562715
344,6.3240275
345,6.4885297
346,7.0896125
347,6.6346097
348,6.793028
349,6.520109
350,6.970982
351,6.584433
352,6.5164504
353,5.897193
354,6.7759585
355,6.8464117
356,5.855682
357,6.5405993
358,5.792691
359,5.9215174
360,6.6084733
361,5.998049
362,5.9072876
363,6.8407416
364,6.729534
365,6.7075233
366,6.191721
367,7.8882484
368,6.8653193
369,6.283534
370,6.764646
371,6.770451
372,7.191554
373,6.749356
374,6.448972
375,6.6413093
376,7.7374225
377,5.9342175
378,6.6122875
379,7.55035
380,6.3601565
381,7.4108725
382,7.6146955
383,7.2088842
384,6.6879716
385,6.4480057
386,7.009812
387,7.61807
388,6.752292
389,6.865163
390,6.4336157
391,7.6599607
392,6.39991
393,7.3823495
394,6.6411467
395,5.9041824
396,6.693797
397,5.9168234
398,5.944867
399,7.3678775
400,6.368863
401,7.560933
402,6.966014
403,7.362152
404,6.6979604
405,6.7970753
406,5.8008223
407,6.54283
408,5.7483435
409,6.1618657
410,6.7220597
411,6.336773
412,6.85381
413,6.7490683
414,5.939709
415,7.5989714
416,7.405012
417,6.661015
418,6.2766695
419,7.3407273
420,7.053148
421,8.041757
422,7.2645373
423,5.8443923
424,7.573941
425,7.151943
426,6.404418
427,7.2894335
428,6.0259805
429,6.1683393
430,6.5931125
431,6.6205134
432,5.9344254
433,6.7536507
434,5.930989
435,5.8570614
436,6.1836295
437,6.2944303
438,6.2098246
439,6.9533105
440,6.3155537
441,6.8092155
442,6.65128
443,6.5781665
444,7.362363
445,6.0569463
446,6.2188725
447,6.0279994
448,6.2727094
449,6.0152555
450,6.5532904
451,6.863812
452,7.4694557
453,7.0230565
454,6.678108
455,6.3660264
456,6.3081117
457,5.9361877
458,7.2811275
459,6.3524
460,6.9199696
461,6.857645
462,6.667225
463,7.7908664
464,7.6136537
465,6.3530593
466,7.52185
467,5.894959
468,7.265641
469,5.9548907
470,7.2804966
471,5.849691
472,7.3793306
473,6.4334717
474,6.66055
475,7.4323077
476,6.8193274
477,7.5142803
478,7.7187777
479,6.5299716
480,6.002483
481,7.0895405
482,6.618031
483,7.115261
484,7.3351707
485,6.8332973
486,6.5414996
487,7.005539
488,6.644679
489,6.8115473
490,6.852669
491,6.080401
492,7.469662
493,7.281325
494,6.425009
495,6.784229
496,6.9388494
497,7.5340123
498,6.654386
499,6.7604685
500,7.3649635
501,6.797342
502,7.71498
503,6.3372874
504,7.0163865
505,7.1909037
506,6.810811
507,7.5671883
508,6.8200617
509,6.255313
510,6.4645343
511,6.600732
512,7.3650856
513,6.7665167
514,6.284082
515,6.417381
516,5.908158
517,6.5790772
518,6.849477
519,5.922296
520,6.341097
521,6.325348
522,7.270655
523,7.2057652
524,6.260972
525,7.3533216
526,7.2145476
527,6.359464
528,7.49007
529,6.770028
530,5.9973392
531,6.588197
532,6.8315487
533,5.8912807
534,6.708595
535,6.392892
536,7.59695
537,6.5821834
538,6.005818
539,6.7494235
540,5.9582157
541,6.6364822
542,6.83374
543,6.5510545
544,6.668302
545,6.830148
546,6.2363687
547,7.4361544
548,5.9121556
549,6.6651397
550,6.574202
551,6.3875833
552,6.6157765
553,6.725726
554,7.3478074
555,6.7813606
556,7.428615
557,6.861052
558,6.51074
