Row,ic_E,ic_dE
0,1038.0734,499.49334
1,896.20550,446.68432
2,764.15704,485.13369
3,441.74606,560.30523
4,868.35046,457.41189
5,913.56781,434.76657
6,1028.1428,453.59704
7,908.98736,450.62942
8,1057.6998,483.25949
9,410.75854,508.16946
10,1044.7933,493.86389
11,438.91372,523.13690
12,503.36941,512.24005
13,410.85845,527.89038
14,524.48407,501.28869
15,1025.3662,490.86245
16,1018.6193,483.94058
17,441.47546,529.22631
18,416.03909,531.51330
19,447.28335,517.86071
20,867.32482,449.24084
21,424.21762,531.61041
22,449.52777,501.81213
23,924.7052,468.61499
24,926.62701,451.60678
25,421.77395,531.21130
26,379.94461,537.23156
27,436.63217,551.22973
28,1008.6557,466.84893
29,1035.4007,482.16726
30,1039.9791,478.99395
31,434.43377,530.92346
32,898.48480,448.98095
33,428.11563,524.36749
34,1013.3916,477.30258
35,385.66171,541.58599
36,1015.7232,484.65246
37,461.35961,513.28729
38,504.59213,519.80761
39,396.87722,524.59948
40,448.19528,518.53363
41,1066.7489,455.97341
42,465.45181,532.18237
43,467.39236,516.46331
44,421.94989,538.29504
45,1048.9316,464.31097
46,370.98626,524.22131
47,388.76260,522.32275
48,486.21524,507.18731
49,995.85076,489.08013
50,459.72415,521.94757
51,391.83343,544.18115
52,393.03439,521.67163
53,1044.1245,482.01651
54,480.75058,533.29553
55,443.20169,532.60687
56,1027.6978,497.10784
57,384.45178,529.83978
58,385.87619,546.77685
59,879.75885,470.76007
60,1036.8450,469.29254
61,856.53308,473.95132
62,926.06945,431.65609
63,905.9198,462.03326
64,953.66229,446.61911
65,1038.3269,469.38598
66,434.04315,519.23687
67,1025.1070,475.87701
68,570.35882,555.37152
69,878.54071,451.51181
70,446.29672,531.65631
71,822.30743,453.72500
72,1036.4339,483.19461
73,901.19641,435.74877
74,448.60446,525.09741
75,1009.8862,474.57705
76,553.74334,492.89904
77,1048.5931,483.67193
78,382.35470,525.38073
79,871.31799,469.87872
80,398.57229,544.49231
81,994.12866,478.30078
82,1022.6329,467.68505
83,1047.4862,490.67782
84,948.14361,439.85467
85,419.19107,539.86029
